1 1,0,0,0 681.583,560.147,256.192,257.339 908816
2 1,0,0,0 655.154,503.13,211.384,242.468 784532
3 0,1,0,0 864.86,680.911,314.694,333.906 1.42079e+006
4 1,0,0,0 678.589,532.449,216.796,237.15 845869
5 0,0,1,0 881.963,714.339,321.184,324.296 1.49582e+006
6 0,1,0,0 870.736,664.598,275.159,314.22 1.37299e+006
7 1,0,0,0 1071.04,836.33,377.214,401.404 2.14785e+006
8 1,0,0,0 692.79,547.616,221.506,239.831 885040
9 0,1,0,0 888.647,723.177,326.78,327.662 1.52538e+006
10 0,0,1,0 884.327,681.056,283.657,319.489 1.42784e+006
11 1,0,0,0 1068.71,843.949,381.23,405.022 2.16163e+006
12 0,1,0,0 902.064,706.063,285.49,311.063 1.4891e+006
13 1,0,0,0 1088.22,877.13,387.575,392.735 2.25586e+006
14 1,0,0,0 1091.68,831.935,343.786,390.998 2.15277e+006
15 0,0,0,1 1270.81,993.694,441.369,470.528 3.01765e+006
16 1,0,0,0 713.872,561.256,218.553,241.207 929141
17 1,0,0,0 903.217,731.965,319.734,329.935 1.56086e+006
18 0,1,0,0 883.925,680.918,269.236,307.939 1.41093e+006
19 1,0,0,0 1084.42,853.479,377.131,404.934 2.20843e+006
20 0,0,1,0 917.442,720.809,276.677,308.081 1.53218e+006
21 0,1,0,0 1106.86,889.15,380.834,393.921 2.31416e+006
22 1,0,0,0 1095.26,838.04,331.269,378.718 2.15289e+006
23 1,0,0,0 1283.02,1002.66,433.568,467.828 3.05576e+006
24 0,1,0,0 927.422,733.948,282.496,310.573 1.57358e+006
25 0,0,1,0 1118.96,900.697,387.725,398.733 2.37188e+006
26 1,0,0,0 1100.6,854.71,336.556,380.872 2.19797e+006
27 0,1,0,0 1291.31,1016.42,440.975,472.656 3.11642e+006
28 1,0,0,0 1132.09,889.861,341.618,380.451 2.33266e+006
29 1,0,0,0 1315.48,1052.59,446.088,463.868 3.24998e+006
30 0,0,0,1 1308.5,1006.53,395.861,450.467 3.08399e+006
31 1,0,0,0 1491.31,1166.37,500.559,536.563 4.11991e+006
32 1,0,0,0 719.922,568.606,237.789,261.619 965150
33 0,1,0,0 909.771,746.085,335.131,351.312 1.61857e+006
34 1,0,0,0 896.592,702.636,301.861,335.469 1.49944e+006
35 0,0,1,0 1086.96,866.568,394.832,421.504 2.26519e+006
36 0,1,0,0 915.696,721.833,299.807,324.275 1.55314e+006
37 1,0,0,0 1106.86,898.677,402.122,411.348 2.36145e+006
38 1,0,0,0 1094.72,852.236,359.667,402.237 2.21368e+006
39 0,1,0,0 1288.67,1023.05,458.794,486.534 3.15248e+006
40 0,0,1,0 918.348,731.037,301.214,328.474 1.5758e+006
41 1,0,0,0 1107.5,904.306,402.716,416.305 2.3776e+006
42 0,1,0,0 1099.37,860.632,363.025,401.961 2.24093e+006
43 1,0,0,0 1278.79,1024.26,457.822,490.322 3.13188e+006
